PLAYER_NAME,Player_Abbrev,SeasonYear,Defensive_Handoff,Defensive_OffScreen,Defensive_PRBallHandler,Defensive_PRRollMan,Defensive_Postup,Defensive_Spotup,Offensive_Cut,Offensive_Handoff,Offensive_Misc,Offensive_OffScreen,Offensive_PRBallHandler,Offensive_PRRollMan,Offensive_Postup,Offensive_Spotup
Al Jefferson,A. Jefferson,2015-16,0.0,0.478,0.0,0.342,0.926,0.907,0.415,0.0,0.332,0.0,0.0,0.671,0.637,0.643
Al Jefferson,A. Jefferson,2016-17,0.0,0.0,0.0,0.257,0.937,0.1,0.399,0.0,0.457,0.0,0.0,0.413,0.789,0.193
Al Jefferson,A. Jefferson,2017-18,0.0,0.0,0.0,0.706,0.11,0.008,0.569,0.0,0.0,0.0,0.0,0.507,0.917,0.251
Al-Farouq Aminu,A. Aminu,2015-16,0.175,0.584,0.419,0.594,0.537,0.588,0.819,0.57,0.761,0.418,0.29,0.507,0.049,0.704
Al-Farouq Aminu,A. Aminu,2016-17,0.43,0.542,0.05,0.894,0.589,0.617,0.337,0.017,0.156,0.0,0.993,0.128,0.571,0.333
Al-Farouq Aminu,A. Aminu,2017-18,0.919,0.537,0.275,0.41,0.742,0.565,0.102,0.484,0.624,0.112,0.016,0.435,0.0,0.428
Al-Farouq Aminu,A. Aminu,2018-19,0.154,0.382,0.316,0.357,0.751,0.435,0.314,0.316,0.832,0.056,0.095,0.926,0.0,0.41
Al-Farouq Aminu,A. Aminu,2019-20,0.032,0.0,0.997,0.018,0.0,0.739,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.032
Al-Farouq Aminu,A. Aminu,2020-21,0.0,0.938,0.934,0.0,0.0,0.056,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.068
Alan Anderson,A. Anderson,2015-16,0.0,0.682,0.336,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981
Alan Anderson,A. Anderson,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911,0.0,0.0,0.596
Alan Williams,A. Williams,2016-17,0.0,0.0,0.0,0.904,0.635,0.63,0.097,0.0,0.229,0.0,0.0,0.633,0.283,0.0
Alan Williams,A. Williams,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Alec Burks,A. Burks,2015-16,0.058,0.176,0.678,0.0,0.102,0.634,0.13,0.555,0.957,0.0,0.626,0.0,0.0,0.828
Alec Burks,A. Burks,2016-17,0.067,0.974,0.869,0.0,0.0,0.991,0.023,0.788,0.973,0.766,0.815,0.0,0.0,0.291
Alec Burks,A. Burks,2017-18,0.179,0.379,0.462,0.0,0.0,0.029,0.76,0.525,0.9,0.165,0.417,0.0,0.0,0.516
Alec Burks,A. Burks,2018-19,0.233,0.23199999999999998,0.4566666666666667,0.0,0.024999999999999998,0.347,0.19199999999999998,0.4746666666666666,0.2956666666666667,0.44966666666666666,0.17866666666666667,0.0,0.14866666666666667,0.5196666666666666
Alec Burks,A. Burks,2019-20,0.0825,0.4675,0.4805,0.0,0.3605,0.32599999999999996,0.288,0.893,0.3165,0.2615,0.7929999999999999,0.0,0.274,0.6779999999999999
Alec Burks,A. Burks,2020-21,0.94,0.64,0.417,0.326,0.364,0.711,0.874,0.898,0.956,0.052,0.742,0.0,0.0,0.681
Alec Burks,A. Burks,2021-22,0.582,0.659,0.27,0.332,0.653,0.668,0.044,0.72,0.641,0.0,0.713,0.0,0.149,0.746
Alec Burks,A. Burks,2022-23,0.144,0.909,0.866,0.667,0.96,0.146,0.0,0.401,0.859,0.115,0.754,0.0,0.428,0.922
Alec Burks,A. Burks,2023-24,0.2995,0.055,0.194,0.0,0.082,0.3935,0.0,0.2135,0.2215,0.415,0.448,0.0,0.0,0.688
