GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonYear,Player1,Player2,Player3,Player4,Player5
Lineups,-2734-203939-1627827-1628467-1629029-,D. Harris - D. Powell - D. Finney-Smith - M. Kleber - L. Doncic,1610612742,DAL,9,4,5,0.444,23.0,120.5,119.1,119.7,123.9,0.7,-4.8,0.579,1.38,16.9,0.45,0.682,0.571,0.17,0.635,0.629,97.6,96.48,80.4,47,0.533,529,740,14236,7571,910,4381,10265,8124,6254,3743,5724,2608,7729,3960,10519,3724,4611,12063,6058,2018-19,D. Harris,D. Powell,D. Finney-Smith,M. Kleber,L. Doncic
Lineups,-1717-203939-1627827-1628973-1629029-,D. Nowitzki - D. Powell - D. Finney-Smith - J. Brunson - L. Doncic,1610612742,DAL,6,0,6,0.0,23.0,116.6,114.0,109.7,100.0,6.9,14.0,0.652,2.5,20.5,0.375,0.833,0.604,0.12,0.585,0.595,95.7,101.26,84.38,50,0.545,1012,8857,14447,8857,901,4991,6083,5157,5398,1434,3695,3302,4802,3181,8295,4604,5436,10249,5869,2018-19,D. Nowitzki,D. Powell,D. Finney-Smith,J. Brunson,L. Doncic
Lineups,-201599-203084-1628467-1628973-1629029-,D. Jordan - H. Barnes - M. Kleber - J. Brunson - L. Doncic,1610612742,DAL,4,2,2,0.5,19.0,113.5,115.0,146.8,143.9,-33.2,-28.9,0.529,1.8,16.1,0.333,0.625,0.459,0.125,0.554,0.568,100.6,100.98,84.15,40,0.333,1795,1800,11164,5932,1120,4827,11994,9982,6700,2909,6521,3631,8999,8381,8369,5293,6219,10364,9258,2018-19,D. Jordan,H. Barnes,M. Kleber,J. Brunson,L. Doncic
Lineups,-200826-201599-202083-1627827-1629029-,J. Barea - D. Jordan - W. Matthews - D. Finney-Smith - L. Doncic,1610612742,DAL,8,3,5,0.375,19.0,86.4,91.3,92.2,85.4,-5.8,5.9,0.462,0.67,9.5,0.393,0.875,0.568,0.196,0.375,0.451,116.6,117.75,98.12,46,0.375,645,1124,14236,7819,1126,8487,4927,5849,8572,6106,9404,3231,4430,4269,11018,9479,9482,4170,8769,2018-19,J. Barea,D. Jordan,W. Matthews,D. Finney-Smith,L. Doncic
Lineups,-1717-2734-1627827-1628467-1629029-,D. Nowitzki - D. Harris - D. Finney-Smith - M. Kleber - L. Doncic,1610612742,DAL,5,3,2,0.6,18.0,92.6,92.5,96.4,87.2,-3.8,5.3,0.846,1.83,19.6,0.25,0.75,0.5,0.15,0.5,0.514,100.6,105.67,88.05,40,0.547,1332,1124,11164,5636,1228,8388,5126,5906,3029,2885,4612,5610,6166,5473,9628,6056,7590,8219,5812,2018-19,D. Nowitzki,D. Harris,D. Finney-Smith,M. Kleber,L. Doncic
Lineups,-1717-2734-203501-203939-1629029-,D. Nowitzki - D. Harris - T. Hardaway Jr. - D. Powell - L. Doncic,1610612742,DAL,3,1,2,0.333,17.0,117.9,111.4,99.4,97.1,18.5,14.3,0.786,3.67,21.6,0.263,0.706,0.472,0.086,0.547,0.556,96.5,100.43,83.69,35,0.584,2545,3297,11164,7873,1331,5255,5998,5067,3462,648,3398,5534,7429,8094,7030,5441,6535,10600,5191,2018-19,D. Nowitzki,D. Harris,T. Hardaway Jr.,D. Powell,L. Doncic
Lineups,-1717-203501-203939-1627827-1629029-,D. Nowitzki - T. Hardaway Jr. - D. Powell - D. Finney-Smith - L. Doncic,1610612742,DAL,2,1,1,0.5,15.0,109.5,103.3,90.1,93.5,19.4,9.8,0.727,1.33,20.5,0.083,0.789,0.516,0.2,0.659,0.665,96.9,97.68,81.4,30,0.639,3836,3297,4450,5932,1515,6075,5725,5498,4029,3768,3704,8276,5758,5341,11028,3442,4008,11657,4435,2018-19,D. Nowitzki,T. Hardaway Jr.,D. Powell,D. Finney-Smith,L. Doncic
Lineups,-1627827-1628382-1628467-1628973-1629029-,D. Finney-Smith - J. Jackson - M. Kleber - J. Brunson - L. Doncic,1610612742,DAL,4,2,2,0.5,14.0,111.9,112.9,108.6,109.1,3.3,3.8,0.727,1.14,19.5,0.182,0.875,0.593,0.226,0.625,0.692,113.6,112.79,93.99,31,0.534,1795,1800,11164,5932,1692,5063,8632,6025,4029,4108,4646,7248,4430,3697,11964,3781,3463,5533,6053,2018-19,D. Finney-Smith,J. Jackson,M. Kleber,J. Brunson,L. Doncic
Lineups,-1626257-1628382-1628467-1628973-1629029-,S. Mejri - J. Jackson - M. Kleber - J. Brunson - L. Doncic,1610612742,DAL,4,0,4,0.0,13.0,62.2,58.6,108.1,100.0,-45.8,-41.4,0.75,0.86,15.8,0.214,0.833,0.563,0.241,0.386,0.364,104.1,111.5,92.91,29,0.244,1795,8857,13862,8857,1838,11328,6083,10826,3578,5910,6583,6654,4802,4314,12100,9426,10791,5951,10342,2018-19,S. Mejri,J. Jackson,M. Kleber,J. Brunson,L. Doncic
Lineups,-1627827-1628467-1628973-1629029-1629151-,D. Finney-Smith - M. Kleber - J. Brunson - L. Doncic - R. Broekhoff,1610612742,DAL,4,2,2,0.5,12.0,159.4,152.0,102.6,108.0,56.8,44.0,0.538,3.5,19.4,0.5,0.8,0.696,0.08,0.667,0.735,97.8,97.46,81.21,25,0.706,1795,1800,11164,5932,1907,1694,8539,2933,6636,669,4661,1339,5276,1807,6845,3032,2795,11748,3609,2018-19,D. Finney-Smith,M. Kleber,J. Brunson,L. Doncic,R. Broekhoff
