GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonYear,Player1,Player2,Player3,Player4,Player5
Lineups,-2544-2747-201567-202684-203099-,L. James - J. Smith - K. Love - T. Thompson - J. Cunningham,1610612739,CLE,4,3,1,0.75,26.0,113.4,107.8,96.3,96.6,17.1,11.3,0.857,2.57,24.3,0.208,0.929,0.596,0.137,0.581,0.591,98.9,101.0,84.17,51,0.575,1970,1206,3764,3996,813,4340,5666,4598,2334,1046,2008,6066,3412,3187,7306,3696,4334,7289,4781,2015-16,L. James,J. Smith,K. Love,T. Thompson,J. Cunningham
Lineups,-2210-2544-2592-202684-203521-,R. Jefferson - L. James - J. Jones - T. Thompson - M. Dellavedova,1610612739,CLE,9,5,4,0.556,26.0,99.7,103.8,98.9,92.6,0.8,11.3,0.4,2.0,11.9,0.258,0.905,0.519,0.077,0.449,0.489,97.1,98.33,81.94,52,0.494,692,630,11570,5084,814,4684,5302,4599,7430,1395,7099,5099,3501,4653,5299,6824,7362,8337,6136,2015-16,R. Jefferson,L. James,J. Jones,T. Thompson,M. Dellavedova
Lineups,-2210-2544-2747-202684-203521-,R. Jefferson - L. James - J. Smith - T. Thompson - M. Dellavedova,1610612739,CLE,11,8,3,0.727,25.0,97.2,94.4,96.7,100.0,0.5,-5.6,0.5,0.89,11.6,0.28,0.718,0.547,0.167,0.451,0.526,110.3,109.76,91.47,54,0.564,482,276,10862,4199,849,6644,5788,7025,5620,5118,7181,4869,6052,4057,8252,6769,5898,4394,4957,2015-16,R. Jefferson,L. James,J. Smith,T. Thompson,M. Dellavedova
Lineups,-2544-2747-101112-202681-202684-,L. James - J. Smith - C. Frye - K. Irving - T. Thompson,1610612739,CLE,6,5,1,0.833,24.0,146.1,145.1,115.1,112.0,31.0,33.1,0.586,2.83,22.4,0.421,0.842,0.632,0.118,0.729,0.731,97.7,99.38,82.82,51,0.592,1231,630,3764,3838,877,1601,8262,3121,5021,972,2278,2616,3983,2484,6546,1881,2200,7903,4562,2015-16,L. James,J. Smith,C. Frye,K. Irving,T. Thompson
Lineups,-2544-2747-202389-202684-203521-,L. James - J. Smith - T. Mozgov - T. Thompson - M. Dellavedova,1610612739,CLE,13,10,3,0.769,23.0,118.4,114.3,93.7,98.0,24.7,16.3,0.571,1.09,18.2,0.357,0.552,0.488,0.224,0.657,0.695,104.3,103.76,86.47,49,0.669,352,180,10862,3986,943,3642,5746,4252,5105,3551,3960,3254,8416,6692,10065,2636,2544,6228,3548,2015-16,L. James,J. Smith,T. Mozgov,T. Thompson,M. Dellavedova
Lineups,-2544-2747-202389-202681-202697-,L. James - J. Smith - T. Mozgov - K. Irving - I. Shumpert,1610612739,CLE,4,4,0,1.0,22.0,98.9,93.9,94.6,91.3,4.3,2.6,0.611,5.5,17.2,0.148,0.8,0.426,0.041,0.466,0.484,99.1,103.55,86.29,49,0.528,1970,851,1,1,998,6702,5187,5250,4619,111,4467,6942,4343,8029,4863,6512,7437,6291,5466,2015-16,L. James,J. Smith,T. Mozgov,K. Irving,I. Shumpert
Lineups,-2210-2544-2590-201567-202684-,R. Jefferson - L. James - M. Williams - K. Love - T. Thompson,1610612739,CLE,7,5,2,0.714,20.0,102.4,100.0,101.2,95.3,1.2,4.7,0.4,0.67,10.3,0.316,0.773,0.561,0.196,0.5,0.562,103.7,107.99,89.99,46,0.555,993,630,9128,4216,1123,4840,5581,5118,7430,5368,7616,4351,4992,3798,9236,4806,5090,4881,5102,2015-16,R. Jefferson,L. James,M. Williams,K. Love,T. Thompson
Lineups,-2544-2747-101112-202389-202681-,L. James - J. Smith - C. Frye - T. Mozgov - K. Irving,1610612739,CLE,2,1,1,0.5,19.0,125.8,125.0,83.6,86.1,42.2,38.9,0.667,2.0,21.8,0.438,0.762,0.622,0.167,0.618,0.629,93.4,92.32,76.94,36,0.723,3811,3230,3764,5175,1206,2626,4715,2702,3528,1395,2535,2462,5098,2651,8252,3139,3581,10430,3063,2015-16,L. James,J. Smith,C. Frye,T. Mozgov,K. Irving
Lineups,-2544-201567-202389-202697-203521-,L. James - K. Love - T. Mozgov - I. Shumpert - M. Dellavedova,1610612739,CLE,10,9,1,0.9,19.0,105.2,95.1,79.7,72.7,25.5,22.4,0.688,2.2,20.0,0.188,0.789,0.514,0.122,0.548,0.572,95.5,105.07,87.56,41,0.706,566,224,3764,3774,1151,6606,3460,3750,3467,1327,2899,6490,4763,4723,6655,4234,4741,5781,3236,2015-16,L. James,K. Love,T. Mozgov,I. Shumpert,M. Dellavedova
Lineups,-2544-2747-2760-202681-202684-,L. James - J. Smith - A. Varejao - K. Irving - T. Thompson,1610612739,CLE,4,4,0,1.0,18.0,113.2,121.1,101.7,100.0,11.5,21.1,0.611,3.67,18.0,0.481,0.692,0.55,0.079,0.466,0.493,101.8,99.03,82.53,38,0.578,1970,851,1,1,1280,3032,5788,3840,4619,464,4150,2286,6463,4016,5396,6512,7319,8077,4741,2015-16,L. James,J. Smith,A. Varejao,K. Irving,T. Thompson
